Model,Cena ($),Antutu Score,DXOMARK,ppi,pojemność baterii (mAh)
Huawei Mate 40 Pro,907,637 017,143,450,4 360
Google Pixel 7 Pro,899,788 707,147,512,5 000
Honor Magic4 Ultimate,1 211,1 051 488,147,460,4 600
Apple iPhone 14 Pro Max,1 299,960 137,146,460,4 323
Xiaomi 12S Ultra,908,1 061 590,136,522,4 860
Samsung Galaxy S22 Ultra,1 199,907 693,135,500,5 000
ROG Phone 6 PRO,999,1 116 637,81,395,6 000
Motorola Edge 30 Pro,699,979 697,101,393,4 800
Galaxy Z Fold4,1 799,986 751,124,373,4 400
Vivo X80 Pro,1 299,1 005 160,134,517,4 700
Oppo Find X5 Pro,1 299,866 419,130,525,5 000
OnePlus 10 Pro,899,865 589,122,525,5 000
Nothing Phone 1,469,580 763,91,402,4 500
Nokia X30,540,403 732,131,409,4 200
Red Magic 7 Pro,799,1 055 626,85,387,5 000
Poco F4 GT,599,973 605,107,395,4 700
Redmi K50 Gaming,499,959 727,82,395,4 700
realme GT2 Pro,749,956 516,106,526,5 000
iQOO 9 Pro,757,858 575,127,518,4 700
ZTE Axon 40 Ultra,769,713 447,126,400,5 000
